0029-1.1-03|sua3--loh8-lai5 khuann3 biau5-lik8-kuan7 bin5-a2-tsai3 ji7 tshit4 ho7 e5 thinn1-khi3
0029-1.2-03|un1-too7 ji7-tsap8-goo7 tsi3 sann1-tsap8 too7,loh8-hoo7 ki1-lut8 lak8-tsap8 pha1"
0029-1.3-03|lai5-pin1 lak8-pah4 khong3 tshit4 ho7 tshiann2-lai5 tsap8-peh4 ho7 kui7-tai5 pan7-li2
0029-1.4-03|long2-tsong2 nng7-pah4 kau2-tsap8-lak8 khoo1,tsau7 li2 si3 khoo1"
0029-1.5-03|kin1-a2-jit8 si7 peh4-gueh8 ji7-it4,pai3-it4"
0029-1.6-03|gua2 e5 hoo7-tsiau3 ho7-be2 si7 su3 ji7 pat4 ngoo2 su3 khong3 tshit4 it4 liok8
0029-1.7-03|guan2 tau1 e5 tian7-ue7 ho7-be2 si7 khong3 sam1 ngoo2 pat4 su3 sam1 kiu2 tshit4 ji7
0029-1.8-03|i1 ti7 it4 kiu2 pat4 pat4 ni5 tshut4-si3
0029-1.9-03|tshiann2 pang1 gua2 tsuan2 hun1-ki1 sam1 tshit4 pat4 pat4
0029-2.1-03|gua2 siunn7-beh4 lai5-khi3 king2-tshat4-kiok8 pan7 tai7-tsi3.
0029-2.10-03|beh4 khi3 to2-ui7 tse7?
0029-2.11-03|kong1-hng5 gua7-bin7 u7 tsit8 ki1 tshia1-pai5-a2,li2 e7-sai2 ti7 hia1 tse7."
0029-2.12-03|tioh8 tua3 to2 tsit8 tsam7 loh8-tshia1?
0029-2.13-03|tua3 kong1-hng5-loo7 uan2-tong1 pah4-hue3 kong1-si1 hit4 tsam7 loh8.
0029-2.14-03|sit4-le2,li2 tu2-tsiah4 kong2 siann2-mih4?tshiann2 li2 kong2 khah4 ban7--leh4."
0029-2.15-03|gua2 kong2,tua3 kong1-hng5-loo7 uan2-tong1 pah4-hue3 kong1-si1 hit4 tsam7 loh8."
0029-2.16-03|hia1,kong1-tshia1 u7 tsin1 tse7--bo5?"
0029-2.17-03|u7,mui2 tsap8 hun1-tsing1 u7 tsit8 pang1."
0029-2.2-03|tshiann2-mng7,tui3 tsia1 khi3,u7 tsin1 hng7--bo5?"
0029-2.3-03|bo5 gua7 hng7,kin7-kin7--a2."
0029-2.4-03|ma5-huan5 li2 ka7 gua2 kong2 an2-tsuann2 khi3,ho2--bo5?"
0029-2.5-03|li2 beh4 kiann5-loo7 khi3,iah4-si7 tse7 tshia1 khi3?"
0029-2.6-03|gua2 beh4 tse7 tshia1 khi3,m7-koh4 gua2 m7 tsai1-iann2 beh4 ti7 to2-ui7 be2 tshia1-phio3."
